Player,ERA, # All Star Appearances,Hall of Fame Induction Year
deandi01,3.94,4,1953
grovele01,3.26,3,1947
foxxji01,0.8,7,1951
ruthba01,3.68,2,1936
hubbeca01,3.14,5,1947
lemonbo01,3.42,4,1976
koufasa01,3.14,5,1972
ruffire01,4.02,3,1967
willite01,4.5,20,1966
roberro01,3.56,5,1976
paigesa01,2.82,1,1971
musiast01,0.0,28,1969
gomezle01,3.93,5,1972
wynnea01,3.57,9,1972
spahnwa01,3.28,7,1973
fordwh01,2.67,7,1974
fellebo01,3.38,5,1962
wilheho01,3.25,3,1985
suttodo01,3.31,4,1998
drysddo01,3.05,9,1984
newhoha01,3.37,5,1992
palmeji01,3.32,5,1990
gibsobo01,3.15,7,1981
maricju01,3.71,9,1983
carltst01,3.99,5,1994
fingero01,4.31,5,1992
hunteca01,3.48,6,1987
jenkife01,3.39,2,1991
seaveto01,3.04,8,1992
bunniji01,3.57,9,1996
niekrph01,4.1,2,1997
perryga01,3.4,5,1991
ryanno01,3.69,5,1999
maddugr01,3.38,4,2014
eckerde01,3.47,6,2004
suttebr01,3.08,4,2006
gossari01,3.2,6,2008
blylebe01,3.45,2,2011
martipe02,3.0,3,2015
glavito02,3.71,6,2014
boggswa01,3.38,12,2005
smoltjo01,3.51,6,2015
johnsra05,3.48,8,2015
